date,open,high,low,close,volume
2015-12-29,3723.0498,3762.0518,3710.4803,3761.8745,10188555500.0
2015-12-30,3762.9141,3765.657,3726.278,3765.1752,10562995500.0
2015-12-31,3760.9039,3772.6166,3727.3247,3731.0047,10187355600.0
2016-01-04,3725.8561,3726.2446,3468.9485,3469.0662,11537067400.0
2016-01-05,3382.1769,3518.217,3377.2799,3478.7797,16211698400.0
2016-01-06,3482.4064,3543.7394,3468.4666,3539.8082,14596614400.0
2016-01-07,3481.1499,3481.1499,3284.7374,3294.3839,4410264100.0
2016-01-08,3371.871,3418.8508,3237.9307,3361.5632,18595945100.0
2016-01-11,3303.1246,3342.4807,3192.4499,3192.4499,17463838700.0
2016-01-12,3214.8234,3242.2532,3174.5497,3215.7099,12822579600.0
2016-01-13,3240.484,3257.295,3155.879,3155.879,12066649400.0
2016-01-14,3076.6445,3226.6576,3072.0389,3221.5714,13453767100.0
2016-01-15,3200.888,3216.7977,3101.0522,3118.7301,12460177900.0
2016-01-18,3068.2348,3165.6164,3066.727,3130.7289,10112838600.0
2016-01-19,3132.7047,3227.908,3119.2163,3223.1251,12765389300.0
2016-01-20,3204.2183,3225.9496,3154.4259,3174.3781,13065050400.0
2016-01-21,3136.3841,3202.5381,3081.3454,3081.3454,11118973300.0
2016-01-22,3114.895,3132.1708,3053.9581,3113.4626,8995108700.0
2016-01-25,3129.0279,3149.3322,3105.1004,3128.886,8154006100.0
2016-01-26,3099.5957,3106.5302,2934.6469,2940.5085,12693392100.0
2016-01-27,2953.1826,2963.5438,2839.2899,2930.3519,13222936600.0
2016-01-28,2909.3341,2941.8866,2841.8442,2853.7562,9922275600.0
2016-01-29,2855.5983,2965.3093,2854.3712,2946.0902,11330425900.0
2016-02-01,2939.0401,2944.5172,2869.5614,2901.0477,8679534200.0
2016-02-02,2901.5284,2972.4258,2901.5119,2961.3337,8860196300.0
2016-02-03,2931.2883,2954.71,2909.8982,2948.6386,7738900000.0
2016-02-04,2960.3335,2999.2061,2960.2065,2984.7598,9177972400.0
2016-02-05,2982.0563,2988.3597,2962.8471,2963.7894,7685080800.0
2016-02-15,2888.4277,2961.4926,2886.0183,2946.7066,7291943400.0
2016-02-16,2962.1871,3042.0886,2962.1871,3037.0353,11257964300.0
2016-02-17,3034.0902,3065.7845,3027.0458,3063.3199,12829160700.0
2016-02-18,3079.5272,3093.5129,3049.8407,3053.6985,12440146400.0
